_id,chinese_name,english_name,country
1,奥波莱大学,University of Opole,Poland
2,奥波莱技术大学,Opole University of Technology,Poland
3,波兰科学院哥白尼天文中心,Nicolaus Copernicus Astronomical Center of the Polish Academy of Sciences,Poland
4,波兰科学院物理化学研究所,Institute of Physical Chemistry of the Polish Academy of Sciences,Poland
5,波兰科学院流体机械研究所,Robert Szewalski Institute of Fluid-Flow Machinery Polish Academy of Sciences,Poland
6,比得哥熙卡基米日维尔基大学,Casimir the Great University in Bydgoszcz,Poland
7,比得哥熙音乐学院,Feliks Nowowiejski Academy of Music in Bydgoszcz,Poland
8,波兹南经济大学,Poznań University of Economics and Business,Poland
9,波兹南密茨凯维奇大学,Adam Mickiewicz University  Poznań,Poland
10,波兹南生命科学大学,Poznań University of Life Sciences,Poland
11,比亚威斯托克技术大学,Białystok University of Technology,Poland
12,波兹南医科大学,Poznań University of Medical Sciences,Poland
13,波兹南工业大学,Poznań University of Technology,Poland
14,波兰科学院低温与结构研究所,Włodzimierz Trzebiatowski Institute of Low Temperature and Structure Research  Polish Academy of Sciences,Poland
15,波兰科学院数学研究所,Institute of Mathematics of the Polish Academy of Sciences,Poland
16,波兰-日本信息技术学院,Polish-Japanese Academy of Information Technology,Poland
17,波兰科学院哥白尼天文中心,Nicolaus Copernicus Astronomical Center of the Polish Academy of Sciences,Poland
18,比亚威斯托克大学,University of Białystok,Poland
19,波兹南艺术大学,Magdalena Abakanowicz University of Arts in Poznań,Poland
20,波兰科学院物理研究所,Institute of Physics of the Polish Academy of Sciences,Poland
21,比得哥熙理工大学,Bydgoszcz University of Science and Technology,Poland
22,弗罗茨瓦夫大学,University of Wrocław,Poland
23,弗罗茨瓦夫理工大学,Wrocław University of Science and Technology,Poland
24,弗罗茨瓦夫环境与生命科学大学,Wrocław University of Environmental and Life Sciences,Poland
25,弗罗茨瓦夫美术学院,Eugeniusz Geppert Academy of Art and Design in Wrocław,Poland
26,弗罗茨瓦夫语言学院,Philological School of Higher Education in Wrocław,Poland
27,弗罗茨瓦夫管理学院,'Edukacja' College of Management in Wrocław,Poland
28,弗罗茨瓦夫经济大学,Wrocław University of Economics and Business,Poland
29,弗罗茨瓦夫艺术与设计学院,Eugeniusz Geppert Academy of Art and Design in Wrocław,Poland
30,弗罗茨瓦夫医科大学,Wrocław Medical University,Poland
31,弗罗茨瓦夫下西里西亚大学,Lower Silesian University in Wrocław,Poland
32,格丁尼亚海事大学,Gdynia Maritime University,Poland
33,格但斯克大学,University of Gdańsk,Poland
34,格但斯克工业大学,Gdańsk University of Technology,Poland
35,格但斯克希尼亚德茨基体育学院,Academy of Physical Education and Sport in Gdańsk,Poland
36,格但斯克音乐学院,Stanisław Moniuszko Academy of Music in Gdańsk,Poland
37,国际与区域合作高等学院,Gloger University of International and Regional Cooperation,Poland
38,格但斯克WSB梅里托大学,WSB Merito University in Gdańsk,Poland
39,华沙社会科学师范教育高等学校,Pedagogium University of Social Sciences in Warsaw,Poland
40,华沙社会心理学与人文大学,SWPS University of Social Sciences and Humanities,Poland
41,华沙大学,University of Warsaw,Poland
42,华沙经济学院,Warsaw School of Economics,Poland
43,华沙理工大学,Warsaw University of Technology,Poland
